bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f57a4025-f765-44b5-aaa9-76c28b84af3f,1,,,9765,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6836, 'name': 'Francisco Javier García Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6831, 'name': 'Francisco Javier Guerrero Martín'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 6646, 'name': 'Riza Durmisi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6657, 'name': 'Sergio León Limones'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Real Betis,218,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,56e5b457-4ba0-439d-acee-41c1b14dd9ba,2,,,9765,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4a91924d-20b5-4c7f-afc9-effb065778f0,3,,,9765,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['6d6b3abf-5ad3-44bd-828b-f9b3496dbbf9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d6b3abf-5ad3-44bd-828b-f9b3496dbbf9,4,,,9765,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['4a91924d-20b5-4c7f-afc9-effb065778f0'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c693e43f-d5e8-4a10-a4d7-aab850b7cacc,1904,,,9765,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Barcelona,217,['d656c130-7b98-4979-9f04-97a0ba2f44b5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d656c130-7b98-4979-9f04-97a0ba2f44b5,1905,,,9765,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Barcelona,217,['c693e43f-d5e8-4a10-a4d7-aab850b7cacc'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,1.517,,,,,,,,,,,,10175a75-4c90-4131-9668-88cc4542c6b3,5,,"[60.0, 40.0]",9765,0,,,,-2.9229238,,Right Foot,,,,"[51.0, 38.0]",,Ground Pass,9.219544,,,José Andrés Guardado Hernández,5563.0,,,,,Kick Off,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Center Attacking Midfield,2,Real Betis,218,['0d9b2809-0255-41d8-8aee-a5b531aaba6d'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.964,Pass,,2017/2018
,,,,,,,,,,,,,,,1.217,,,,,,,,,,,,f5f13905-e503-4f5e-b158-00155e5acbdb,8,,"[53.0, 38.0]",9765,0,,,,1.7782925,,Left Foot,,,,"[49.0, 57.0]",,Ground Pass,19.416489,,,Fabián Ruiz Peña,6655.0,,,,,,1,From Kick Off,José Andrés Guardado Hernández,5563.0,Left Defensive Midfield,2,Real Betis,218,['8f1050bf-8249-4921-ad1f-def094f4cfe9'],3,,,,,,,,,,,,,,,,,Real Betis,218,00:00:03.050,Pass,,2017/2018
,,,,,,,,,,,,,,,1.144,,,,,,,,,,,,0494ac7d-a870-4ede-a980-6d10c23ef8a6,11,,"[50.0, 60.0]",9765,0,,,,1.1071488,,Left Foot,,,,"[58.0, 76.0]",,Ground Pass,17.888544,,,Francisco Javier Guerrero Martín,6831.0,,,,,,1,From Kick Off,Fabián Ruiz Peña,6655.0,Right Defensive Midfield,2,Real Betis,218,['55b522c3-24fc-4325-9266-37a79f16f966'],5,,,,,,,,,,,,,,,,,Real Betis,218,00:00:05.549,Pass,,2017/2018
,,,,,,,,,,,,,,,1.743,,,,,,,,,,,,056bed6f-4ed4-451c-b54d-dfa44d13ce05,15,,"[57.0, 75.0]",9765,0,,,,-2.9078496,,Right Foot,,,,"[36.0, 70.0]",,Ground Pass,21.587032,,,Francisco Javier García Fernández,6836.0,,,,,,1,From Kick Off,Francisco Javier Guerrero Martín,6831.0,Right Midfield,2,Real Betis,218,"['7f3a4984-5c69-4920-b7da-698d44f6fc1f', '82b1d69a-2570-45f9-a95a-7dabfc0983a7']",7,,,,,,,,,,,,,,,,,Real Betis,218,00:00:07.582,Pass,True,2017/2018
