ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e4e5a04e-42f5-4e0e-9b0c-eea93c260543,1,,,9774,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0e2a7e5f-1192-4ca9-b674-36945d770d7f,2,,,9774,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6855, 'name': 'Guillermo Alfonso Maripán Loaysa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 6617, 'name': 'Ibai Gómez Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6613, 'name': 'Rubén Sobrino Pozuelo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Deportivo Alavés,206,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5c327f3b-19cf-4325-991e-eb67f6822302,3,,,9774,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ab533034-8ad3-440f-8fdd-5ac2ec54a04f'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ab533034-8ad3-440f-8fdd-5ac2ec54a04f,4,,,9774,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5c327f3b-19cf-4325-991e-eb67f6822302'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9f959980-e971-4af8-85d9-04e71edaa592,1846,,,9774,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,110,Barcelona,217,['26464d0e-121d-49d0-8f18-2e6b6bd55516'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,26464d0e-121d-49d0-8f18-2e6b6bd55516,1847,,,9774,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,110,Barcelona,217,['9f959980-e971-4af8-85d9-04e71edaa592'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,0.859859,,,,,,,,,,,,,,5d7b9078-4141-476f-acde-9a9a631edc1c,5,,"[61.0, 40.1]",9774,0,,,,3.0251625,,Right Foot,,,,"[43.9, 42.1]",,Ground Pass,,17.216562,,,,,Álvaro Medrán Just,6736.0,,,,,Kick Off,1,From Kick Off,John Guidetti,6038.0,Right Center Forward,2,Deportivo Alavés,206,['7c251896-5c01-4412-a4a4-5b72e9f55c97'],1,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:01.114,Pass,,2017/2018
,,,,,,,,,,,,,,2.943495,,,,,,,,,,,,,,baa798a9-6108-465e-8503-54e4e0b33474,8,,"[55.7, 41.7]",9774,0,,,,-0.4464819,,Right Foot,,,,"[93.3, 23.7]",,High Pass,,41.686447,,,Incomplete,,John Guidetti,6038.0,,,,,,1,From Kick Off,Álvaro Medrán Just,6736.0,Right Defensive Midfield,2,Deportivo Alavés,206,"['8e56db83-93cf-4713-ad8e-fa6e46173183', 'd6480e42-2fed-409a-8d1c-065ab4e171cf']",3,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:03.756,Pass,,2017/2018
,,,,,,,,True,,,,,,0.97178,,,,,,,,,,,,,,8e56db83-93cf-4713-ad8e-fa6e46173183,11,,"[26.8, 56.4]",9774,0,,,True,-0.06965458,,,,,,"[35.4, 55.8]",,Low Pass,,8.620905,,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,Interception,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,"['baa798a9-6108-465e-8503-54e4e0b33474', 'e97b3391-c3fd-49e8-b4da-1462a5f4bc2b', 'eeb581cc-8681-47bc-bdd6-cd4e89431ef6']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.700,Pass,True,2017/2018
,,,,,,,,,,,,,,0.60567,,,,,,,,,,,,,,d673737a-1ff4-484d-92aa-69e6a2c1c228,13,,"[35.4, 55.8]",9774,0,,,,1.4723501,,Right Foot,,,,"[36.2, 63.9]",,Low Pass,,8.13941,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,José Paulo Bezzera Maciel Júnior,5542.0,Right Defensive Midfield,3,Barcelona,217,['d0856e23-16e3-4d6f-81a9-ad273d1ba167'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.672,Pass,,2017/2018
