50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,20a2a7ea-ebc4-4826-89a5-511859a72653,1,,,9799,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6698, 'name': 'Marko Dmitrović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6710, 'name': 'Rubén Peña Jiménez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 6705, 'name': 'José Ángel Valdés Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6711, 'name': 'Enrique García Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Eibar,322,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,936df112-0653-4be8-b697-ec78362d1799,2,,,9799,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,116b912f-0b1a-4d1f-b3f5-34d913cdb601,3,,,9799,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['fde4182e-c37f-47c9-bfad-758172f3e83f'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fde4182e-c37f-47c9-bfad-758172f3e83f,4,,,9799,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['116b912f-0b1a-4d1f-b3f5-34d913cdb601'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,54aa7629-bbb2-4c35-a357-bc86d5a2f028,1819,,,9799,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Barcelona,217,['ce15b38b-476d-44ac-8f77-bbec85b3f552'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ce15b38b-476d-44ac-8f77-bbec85b3f552,1820,,,9799,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Barcelona,217,['54aa7629-bbb2-4c35-a357-bc86d5a2f028'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,1.644515,,,,,,,,,,,,b9e23a51-bf90-415a-9f65-e3379438f81f,5,,"[61.0, 40.1]",9799,0,,,,-2.672327,,Right Foot,,,"[39.7, 29.3]",,Ground Pass,23.881582,,,,Anaitz Arbilla Zabala,6709.0,,,,,Kick Off,1,From Kick Off,Joan Jordán Moreno,6701.0,Center Attacking Midfield,2,Eibar,322,['f8c4f425-a1e7-49c3-bef3-597317a86b7f'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.662,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.280122,,,,,,,,,,,,8bdabaf2-1a94-4255-8f51-40fc0299eedd,8,,"[41.0, 28.8]",9799,0,,,,-1.455242,,Right Foot,,,"[43.6, 6.4]",,Ground Pass,22.550388,,,,José Ángel Valdés Díaz,6705.0,,,,,,1,From Kick Off,Anaitz Arbilla Zabala,6709.0,Left Center Back,2,Eibar,322,['81535a5d-6ef4-41c0-b74b-c7b735258681'],3,,,,,,,,,,,,,,,,,Eibar,322,00:00:03.267,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.803502,,,,,,,,,,,,2807ee71-06e2-41e4-a9a3-33868ba8c908,11,,"[44.3, 7.5]",9799,0,,,,0.12970254,,Left Foot,,,"[88.0, 13.2]",,High Pass,44.07017,,Incomplete,,,,,,,,,1,From Kick Off,José Ángel Valdés Díaz,6705.0,Left Back,2,Eibar,322,['841b1591-f272-4400-99a5-151f06592098'],6,,,,,,,,,,,,,,,,,Eibar,322,00:00:06.195,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.82456,,,,,,,,,,,,841b1591-f272-4400-99a5-151f06592098,12,,"[32.1, 66.9]",9799,0,,,,-0.9944211,,Head,,,"[37.3, 58.9]",,Low Pass,9.541489,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Eibar,322,"['2807ee71-06e2-41e4-a9a3-33868ba8c908', 'ca393865-043c-4c8f-9af0-784d5c8f618f']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.998,Pass,,2017/2018
