50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,19728f09-ec0d-4636-a0a4-cad897e35a10,1,,,,9811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f8feb337-4d14-44e5-ab81-0e4a04e7f3fa,2,,,,9811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 6785, 'name': 'Yassine Bounou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6887, 'name': 'Jonás Ramalho Chimeno'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 6572, 'name': 'Juan Pedro Ramírez López'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6564, 'name': 'Pablo Maffeo Becerra'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 25}, {'player': {'id': 6578, 'name': 'Francesc Aday Benítez Caraballo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 6565, 'name': 'Pere Pons Riera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6570, 'name': 'Alejandro Granell Nogué'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6582, 'name': 'Cristian Portugués Manzanera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 6567, 'name': 'Borja García Freire'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 7578, 'name': 'Anthony Rubén Lozano Colón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Girona,211,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ea7c8629-5c33-4baf-a1fd-797f0dfd5407,3,,,,9811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,['47062190-cf39-4103-add6-f7d00e78726a'],0,,,,,,,,,,,,,,,,,,Girona,211,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,47062190-cf39-4103-add6-f7d00e78726a,4,,,,9811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,['ea7c8629-5c33-4baf-a1fd-797f0dfd5407'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5bf1df1f-68f8-4485-ae62-6164247d78a2,1638,,,,9811,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,,84,Girona,211,['65a8a77f-cd7f-4871-9640-a2c121c2c9f6'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,65a8a77f-cd7f-4871-9640-a2c121c2c9f6,1639,,,,9811,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,,84,Girona,211,['5bf1df1f-68f8-4485-ae62-6164247d78a2'],0,,,,,,,,,,,,,,,,,,Girona,211,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.908902,,,,,,,,,,,,,,e01b4b6f-adfb-4346-9c91-723a32dec3f4,5,,,"[60.0, 40.0]",9811,0,,,,-2.8846862,,Right Foot,,,"[48.2, 36.9]",,Ground Pass,,12.20041,,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,,Left Center Forward,2,Barcelona,217,['93e1e3e5-b782-481d-8721-36e74b95f349'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.490,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.380081,,,,,,,,,,,,,,ab1581c6-fce6-4334-81d0-c7e712c39d4b,8,,,"[51.2, 37.8]",9811,0,,,,1.8967663,,Right Foot,,,"[48.8, 44.9]",,Ground Pass,,7.4946647,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,2,Barcelona,217,['02a5b03d-5fc3-4b98-a8ce-2968cd39ba55'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.759,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.174146,,,,,,,,,,,,,,4f375895-8364-451c-9d2c-d200f15e3b85,11,,,"[49.5, 45.7]",9811,0,,,,1.5062096,,Right Foot,,,"[50.8, 65.8]",,Ground Pass,,20.141996,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,,Right Defensive Midfield,2,Barcelona,217,['d5ef9aa5-f5b2-4188-9986-5c6c62829876'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.699,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.996426,,,,,,,,,,,,,,9f7c93a8-1fd8-4219-858e-f5324ccae8d3,15,,,"[50.5, 65.8]",9811,0,,,,-2.4264152,,Right Foot,,,"[33.0, 50.6]",,Ground Pass,,23.179518,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,,Right Back,2,Barcelona,217,"['6688be88-db76-4e22-b801-3471f6fe1165', 'ff160cf9-cb08-4c37-874e-7b81c36ccb0a']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.713,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,1.030183,,,,,,,,,,,,,,7ebde87f-2d17-491e-8064-1e11cbfacff9,18,,,"[34.3, 50.2]",9811,0,,,,-0.37151787,,Right Foot,,,"[49.7, 44.2]",,Ground Pass,,16.527554,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,,Right Center Back,2,Barcelona,217,['26aedbca-262f-4e74-987b-06eeba62762b'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.710,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.066757,,,,,,,,,,,,,,20a632db-6d1f-4e20-8186-4578378c09ee,21,,,"[50.3, 44.6]",9811,0,,,,2.8602002,,Left Foot,,,"[37.5, 48.3]",,Ground Pass,,13.3240385,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,2,Barcelona,217,['2024775b-6c6d-4875-b4a0-f35fca9cce78'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.855,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.559997,,,,,,,,,,,,,,9ca79b3b-3742-46ab-9efc-094649badd47,24,,,"[37.5, 48.3]",9811,0,,,,1.3270124,,Right Foot,,,"[42.4, 68.0]",,Ground Pass,,20.300247,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,,Right Center Back,2,Barcelona,217,['fcce2425-3ebb-4248-8ff6-406034520713'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.522,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.039997,,,,,,,,,,,,,,99938844-e528-4a9a-b0f8-2e5f6a5bc8e7,28,,,"[46.0, 72.2]",9811,0,,,,0.29446205,,Right Foot,,,"[58.2, 75.9]",,Ground Pass,,12.748726,,,,Ousmane Dembélé,5477.0,,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,,Right Back,2,Barcelona,217,['11d738a6-29e1-44f5-8657-67a8c578e21b'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.122,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,2.472745,,,,,,,,,,,,,,92498271-91e8-4a86-bbb0-87b4d14bbe41,31,,,"[60.0, 75.7]",9811,0,,,,-0.075171895,,Left Foot,,,"[83.9, 73.9]",,High Pass,,23.967686,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,,Right Midfield,2,Barcelona,217,['d6843259-b349-4b25-bfbf-7ee467d78156'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.682,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,3.489877,,,,,,,,,,,,,,63e292e3-1298-41ec-bb8e-f491fee6fc76,35,,,"[108.7, 58.3]",9811,0,,,,-1.8536055,,Right Foot,True,,"[98.5, 23.2]",,Ground Pass,,36.552017,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,,Right Back,2,Barcelona,217,['7a521de3-c66f-4973-be6e-bc6cb73998f4'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.995,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,2.547627,,,,,,,,,,,,,,712d538a-66d6-41ba-a462-df9eff932109,43,,,"[84.3, 21.5]",9811,0,,,True,-1.9663192,,,,,"[76.2, 2.1]",,Low Pass,,21.023083,,,,Samuel Yves Umtiti,5492.0,,,,,,Recovery,1,From Kick Off,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,2,Barcelona,217,"['66646278-1b4d-4335-9ca8-904afd5b2dfb', 'cd2343f6-af24-4ddb-a752-c62e867ef231']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.145,Pass,True,2017/2018
