50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,11b04254-c4cb-4df3-99a4-5f8e816e3446,1,,,9870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3a60b525-49b7-44f6-8da3-ff289d2daabe,2,,,9870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6598, 'name': 'Unai Bustinza Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6603, 'name': 'Dimitrios Siovas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6601, 'name': 'Raúl García Carnero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6597, 'name': 'Gabriel Appelt Pires'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6607, 'name': 'Julián Omar Ramos Suárez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Leganés,205,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,74372862-2860-41af-867f-7cff4d6b5f81,3,,,9870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['91a2fccb-712c-4474-a118-4712b006b796'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,91a2fccb-712c-4474-a118-4712b006b796,4,,,9870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['74372862-2860-41af-867f-7cff4d6b5f81'],0,,,,,,,,,,,,,,,,,,Leganés,205,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,900c7ee0-8441-467d-a734-85d1ed13ed3d,1995,,,9870,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Barcelona,217,['1f04ac0f-6dc7-4fd9-ad06-aea010811511'],0,,,,,,,,,,,,,,,,,,Leganés,205,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1f04ac0f-6dc7-4fd9-ad06-aea010811511,1996,,,9870,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Barcelona,217,['900c7ee0-8441-467d-a734-85d1ed13ed3d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,1.690094,,,,,,,,,,,d6387a12-e5b0-4475-bb51-b1c1873122ea,5,,"[61.0, 40.1]",9870,0,,,,,-2.3243582,,Right Foot,,,,"[53.4, 32.0]",,Ground Pass,,11.107204,,,,,Javier Eraso Goñi,6606.0,,,,,Kick Off,1,From Kick Off,Nordin Amrabat,3302.0,Center Forward,2,Leganés,205,['391a5f2c-f39e-43e1-a7ef-ef40a190c697'],0,,,,,,,,,,,,,,,,,,Leganés,205,00:00:00.360,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.454061,,,,,,,,,,,454c0754-2448-42c2-ae34-42dd69404f98,8,,"[50.1, 29.5]",9870,0,,,,,-1.7835281,,Left Foot,,,,"[44.7, 4.5]",,Ground Pass,,25.576551,,,,,Raúl García Carnero,6601.0,,,,,,1,From Kick Off,Javier Eraso Goñi,6606.0,Center Attacking Midfield,2,Leganés,205,['b2f87df5-e826-4129-aaa7-aeceb56b40e4'],2,,,,,,,,,,,,,,,,,,Leganés,205,00:00:02.323,Pass,,2017/2018
,,,,,,,,,,,,,,,,,3.375574,,,,,,,,,,,cb2c8f8a-4705-4de6-87b0-107657a79748,11,,"[48.4, 1.6]",9870,0,,,,,0.20414022,,Left Foot,,,,"[102.5, 12.8]",,High Pass,,55.247173,,,Incomplete,,Julián Omar Ramos Suárez,6607.0,,,,,,1,From Kick Off,Raúl García Carnero,6601.0,Left Back,2,Leganés,205,"['01407ca9-a6ac-4c5d-b959-59df9f708b48', '51140cac-425e-431f-8cd1-9447cb738e49']",5,,,,,,,,,,,,,,,,,,Leganés,205,00:00:05.180,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.003336,,,,,,,,,,,7d75abc7-b2bf-470d-845c-8727843dc1e9,15,,"[17.4, 63.9]",9870,0,,,,,-1.4907005,,Right Foot,,,,"[19.8, 34.0]",,Ground Pass,,29.996166,,,,,Thomas Vermaelen,6332.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['15f4b92c-2497-4bc5-887c-6fa5b3443c2c'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.556,Pass,,2017/2018
