50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2f8319f2-f34c-47fd-977b-332324d7d86c,1,,,9880,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,43fae5ba-b810-4f74-a16d-cd176c51664f,2,,,9880,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6891, 'name': 'Ezequiel Marcelo Garay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6583, 'name': 'Carlos Soler Barragán'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 4367, 'name': 'Gonçalo Manuel Ganchinho Guedes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Valencia,207,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,67ef9f5e-fa09-47a3-ba34-9db104d76596,3,,,9880,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['77f21766-088e-4b62-b9dd-e32c977f2c5d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,77f21766-088e-4b62-b9dd-e32c977f2c5d,4,,,9880,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['67ef9f5e-fa09-47a3-ba34-9db104d76596'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,74293797-cb32-4280-9b0f-02eaa4f1ddbf,1950,,,9880,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Valencia,207,['62d9ddc9-5420-4892-bea2-2e3553149a03'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,62d9ddc9-5420-4892-bea2-2e3553149a03,1951,,,9880,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Valencia,207,['74293797-cb32-4280-9b0f-02eaa4f1ddbf'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.925053,,,,,,,,,,,,,,884e0535-26fd-4299-b5e6-389f563e0c54,5,,"[61.0, 40.1]",9880,0,,,,2.8726776,,Right Foot,,,,"[48.3, 43.6]",,Ground Pass,,13.173458,,,,,Daniel Parejo Muñoz,6595.0,,,,,,Kick Off,1,From Kick Off,Santiago Mina Lorenzo,6594.0,Left Center Forward,2,Valencia,207,['bec102ef-6a57-4d8c-9cc3-9178f99432c9'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.388,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.498024,,,,,,,,,,,,,,447c93d2-24e0-4f1f-b2e3-c371da77575c,8,,"[48.3, 47.2]",9880,0,,,,1.2440207,,Right Foot,,,,"[58.4, 77.0]",,Ground Pass,,31.46506,,,,,Carlos Soler Barragán,6583.0,,,,,,,1,From Kick Off,Daniel Parejo Muñoz,6595.0,Right Defensive Midfield,2,Valencia,207,['fa79dd60-8e44-4cbe-9cd6-0c7c4562bc52'],2,,,,,,,,,,,,,,,,,,Valencia,207,00:00:02.656,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.523484,,,,,,,,,,,,,,b6a22fd9-7de5-4235-a474-c1f93612c5e3,11,,"[57.8, 76.4]",9880,0,,,,-3.059585,,Right Foot,,,,"[35.9, 74.6]",,Ground Pass,,21.973848,,,,,Rúben Miguel Nunes Vezo,6592.0,,,,,,,1,From Kick Off,Carlos Soler Barragán,6583.0,Right Midfield,2,Valencia,207,['9cdd523d-8700-4168-8804-2ed57411c738'],5,,,,,,,,,,,,,,,,,,Valencia,207,00:00:05.250,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.134616,,,,,,,,,,,,,,9aebd4d6-a28d-46a0-9a31-4b7774f1cc6f,14,,"[32.8, 63.0]",9880,0,,,,-2.166806,,Left Foot,,,,"[15.3, 37.2]",,Ground Pass,,31.17515,,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Rúben Miguel Nunes Vezo,6592.0,Right Back,2,Valencia,207,['8ac1f272-0332-482b-8ca6-c92f5bc37d70'],8,,,,,,,,,,,,,,,,,,Valencia,207,00:00:08.194,Pass,,2017/2018
