bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f6eafee3-ea10-46d6-9ace-a4a6326bd406,1,,,9924,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a45df5ad-ee95-49ca-8f1a-b49ecb631a7e,2,,,9924,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d34a988e-e95e-4ab4-aa5e-55bbdf2d3208,3,,,9924,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['83e104ef-65a8-443d-85e1-4e11efde82db'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,83e104ef-65a8-443d-85e1-4e11efde82db,4,,,9924,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d34a988e-e95e-4ab4-aa5e-55bbdf2d3208'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3d35f11b-b59c-44cc-9c68-2106fdd8147a,1970,,,9924,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Real Madrid,220,['ec132d19-b096-4946-96da-edc12f298987'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ec132d19-b096-4946-96da-edc12f298987,1971,,,9924,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Real Madrid,220,['3d35f11b-b59c-44cc-9c68-2106fdd8147a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.922238,,,,,,,,,,,,,,d40fa88a-4084-4a97-968d-9c02540537f5,5,,"[61.0, 40.1]",9924,0,,,,-2.8419516,,Right Foot,,,,"[48.7, 36.3]",,Ground Pass,,12.873616,,,Toni Kroos,5574.0,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['6287d4b1-b61d-46ea-b1a0-3dad62c953cc'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.867,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,d8608e08-b199-4dbf-b09d-e880b501b4dd,8,,"[48.7, 33.0]",9924,0,,,,-2.131306,,Right Foot,,,,"[36.9, 14.2]",,Ground Pass,,22.196396,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['1dc284ed-a045-4bde-97f2-a3361ce19945'],3,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.113,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.203526,,,,,,,,,,,,,,0a579b70-76ca-450a-a705-bd45dc2a45c4,11,,"[33.3, 15.0]",9924,0,,,,1.6148514,,Right Foot,,,,"[31.4, 58.1]",,Ground Pass,,43.141857,,,Raphaël Varane,5485.0,,True,,,,1,From Kick Off,Sergio Ramos García,5201.0,Left Center Back,2,Real Madrid,220,['8b448299-6910-4147-86c8-0a9b35c605c5'],6,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.092,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.85937,,,,,,,,,,,,,,9e00d2f8-28af-4fa9-b0a8-939628855ff4,14,,"[29.9, 56.8]",9924,0,,,,-2.412473,,Right Foot,,,,"[7.4, 36.7]",,Ground Pass,,30.170515,,,Keylor Navas Gamboa,5597.0,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,Real Madrid,220,['8ed9c28f-1a28-43b8-817c-6971fff05550'],7,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:07.742,Pass,,2017/2018
